,Path,z
333,./spec_forgelato/v1/specgelato_SPEC503.fits,0.29159
334,./spec_forgelato/v1/specgelato_SPEC504.fits,0.29383
335,./spec_forgelato/v1/specgelato_SPEC505.fits,0.68657
336,./spec_forgelato/v1/specgelato_SPEC506.fits,0.29297
337,./spec_forgelato/v1/specgelato_SPEC507.fits,0.44596
338,./spec_forgelato/v1/specgelato_SPEC508.fits,0.44603
339,./spec_forgelato/v1/specgelato_SPEC509.fits,0.29157
340,./spec_forgelato/v1/specgelato_SPEC510.fits,0.2935
341,./spec_forgelato/v1/specgelato_SPEC511.fits,0.2929
342,./spec_forgelato/v1/specgelato_SPEC512.fits,0.29256
343,./spec_forgelato/v1/specgelato_SPEC513.fits,0.28637
344,./spec_forgelato/v1/specgelato_SPEC516.fits,0.07437
345,./spec_forgelato/v1/specgelato_SPEC517.fits,0.1835
346,./spec_forgelato/v1/specgelato_SPEC518.fits,0.29156
347,./spec_forgelato/v1/specgelato_SPEC519.fits,0.44712
348,./spec_forgelato/v1/specgelato_SPEC520.fits,0.44624
349,./spec_forgelato/v1/specgelato_SPEC523.fits,0.447
350,./spec_forgelato/v1/specgelato_SPEC524.fits,0.68695
351,./spec_forgelato/v1/specgelato_SPEC525.fits,0.3947
352,./spec_forgelato/v1/specgelato_SPEC526.fits,0.44701
353,./spec_forgelato/v1/specgelato_SPEC527.fits,0.45081
354,./spec_forgelato/v1/specgelato_SPEC528.fits,0.62839
355,./spec_forgelato/v1/specgelato_SPEC529.fits,0.43607
356,./spec_forgelato/v1/specgelato_SPEC530.fits,0.44892
357,./spec_forgelato/v1/specgelato_SPEC531.fits,0.82328
358,./spec_forgelato/v1/specgelato_SPEC532.fits,0.67486
359,./spec_forgelato/v1/specgelato_SPEC533.fits,-0.0001
360,./spec_forgelato/v1/specgelato_SPEC535.fits,0.3766
361,./spec_forgelato/v1/specgelato_SPEC536.fits,0.20409
362,./spec_forgelato/v1/specgelato_SPEC537.fits,1.60061
363,./spec_forgelato/v1/specgelato_SPEC539.fits,0.0
364,./spec_forgelato/v1/specgelato_SPEC540.fits,0.31104
365,./spec_forgelato/v1/specgelato_SPEC541.fits,0.10983
366,./spec_forgelato/v1/specgelato_SPEC542.fits,0.49122
367,./spec_forgelato/v1/specgelato_SPEC543.fits,0.23032
368,./spec_forgelato/v1/specgelato_SPEC544.fits,0.77772
369,./spec_forgelato/v1/specgelato_SPEC545.fits,0.77903
370,./spec_forgelato/v1/specgelato_SPEC546.fits,1.4607
371,./spec_forgelato/v1/specgelato_SPEC547.fits,0.53394
372,./spec_forgelato/v1/specgelato_SPEC548.fits,0.28902
373,./spec_forgelato/v1/specgelato_SPEC549.fits,0.55844
374,./spec_forgelato/v1/specgelato_SPEC550.fits,-0.0006
375,./spec_forgelato/v1/specgelato_SPEC551.fits,0.44418
376,./spec_forgelato/v1/specgelato_SPEC552.fits,0.50202
377,./spec_forgelato/v1/specgelato_SPEC553.fits,0.67152
378,./spec_forgelato/v1/specgelato_SPEC554.fits,0.5036
379,./spec_forgelato/v1/specgelato_SPEC556.fits,0.3861
380,./spec_forgelato/v1/specgelato_SPEC557.fits,0.41354
381,./spec_forgelato/v1/specgelato_SPEC558.fits,0.50526
382,./spec_forgelato/v1/specgelato_SPEC559.fits,0.50567
383,./spec_forgelato/v1/specgelato_SPEC560.fits,0.11731
384,./spec_forgelato/v1/specgelato_SPEC562.fits,0.49072
385,./spec_forgelato/v1/specgelato_SPEC563.fits,0.10508
386,./spec_forgelato/v1/specgelato_SPEC564.fits,0.29016
387,./spec_forgelato/v1/specgelato_SPEC565.fits,0.60408
388,./spec_forgelato/v1/specgelato_SPEC566.fits,0.48003
389,./spec_forgelato/v1/specgelato_SPEC567.fits,0.44478
390,./spec_forgelato/v1/specgelato_SPEC568.fits,0.23908
391,./spec_forgelato/v1/specgelato_SPEC569.fits,0.58821
392,./spec_forgelato/v1/specgelato_SPEC570.fits,0.24845
393,./spec_forgelato/v1/specgelato_SPEC571.fits,0.24825
394,./spec_forgelato/v1/specgelato_SPEC572.fits,0.21779
395,./spec_forgelato/v1/specgelato_SPEC573.fits,0.59232
396,./spec_forgelato/v1/specgelato_SPEC574.fits,0.60429
397,./spec_forgelato/v1/specgelato_SPEC575.fits,0.5965
398,./spec_forgelato/v1/specgelato_SPEC576.fits,0.4345
399,./spec_forgelato/v1/specgelato_SPEC577.fits,0.30456
400,./spec_forgelato/v1/specgelato_SPEC578.fits,0.59829
401,./spec_forgelato/v1/specgelato_SPEC579.fits,0.40572
402,./spec_forgelato/v1/specgelato_SPEC580.fits,0.49115
403,./spec_forgelato/v1/specgelato_SPEC582.fits,0.31798
404,./spec_forgelato/v1/specgelato_SPEC583.fits,0.46606
405,./spec_forgelato/v1/specgelato_SPEC584.fits,0.11612
406,./spec_forgelato/v1/specgelato_SPEC585.fits,0.11702
407,./spec_forgelato/v1/specgelato_SPEC586.fits,0.90709
408,./spec_forgelato/v1/specgelato_SPEC587.fits,0.3015
409,./spec_forgelato/v1/specgelato_SPEC588.fits,0.21802
410,./spec_forgelato/v1/specgelato_SPEC589.fits,0.42394
411,./spec_forgelato/v1/specgelato_SPEC590.fits,0.4132
412,./spec_forgelato/v1/specgelato_SPEC591.fits,1.00825
413,./spec_forgelato/v1/specgelato_SPEC593.fits,0.16227
414,./spec_forgelato/v1/specgelato_SPEC594.fits,0.50262
415,./spec_forgelato/v1/specgelato_SPEC595.fits,0.37712
416,./spec_forgelato/v1/specgelato_SPEC596.fits,0.46169
417,./spec_forgelato/v1/specgelato_SPEC597.fits,0.60492
418,./spec_forgelato/v1/specgelato_SPEC598.fits,0.43251
419,./spec_forgelato/v1/specgelato_SPEC599.fits,0.36334
420,./spec_forgelato/v1/specgelato_SPEC600.fits,0.2388
421,./spec_forgelato/v1/specgelato_SPEC601.fits,0.29396
422,./spec_forgelato/v1/specgelato_SPEC602.fits,0.44467
423,./spec_forgelato/v1/specgelato_SPEC603.fits,0.39429
